text,sentiment
Wow,2
"Jd long weekend ,trs bepergian kemana2 .Gk jd hemat BBM🥲🥲 .WFH itu hrsnya ditengah minggu🙄",0
ditambah libur nya jadi 3 hari udah ini mah dipake liburan percuma hemat bbm sama aja bbm nya dipake liburan jauh 🙏🏻,1
ibarat nya rakyat terus bekerja pemerintah libur 3 hari,1
"ASN tugasnya melayani rakyat malah lebih bnyak libur daripada masyarakat nya sendiri, bhkan ad yg gk punya hari libur😂 diluar nalar",2
"ASN Sabtu emnk libur, jd tambah Jumat 3 hari liburnya dalam sepekan 😂",1
"WFH tapi Cafe, Tempat Hiburan, hingga tempat wisata ramai😂😂😂 , lebih ke cuan bisnis lain gk sih😢",0
itu yg diharapkan jg. ekonomi brputar,0
Lah... trus target hemat BBMnya gimana Pak Bos? Mau mereka ke tempat wisata jalan kaki??,0
"Harus nya di tambah jumat + senin.....biar waktu holiday nya panjang.  pejabat senang rakyat sengsara
",0
Kalo mau WFH tuh antara selasa sampe kamis...kalo jumat sih auto holiday long weekend luar kota yg bbm nya lebih banyak dari pada buat ke kantor 👏👏👏,0
trs jalan2 long weekend nya pakai mbl plat merah donk......😂😂,0
Work from hotel aja ga siii,1
Heddehhh apakah ini solusi??,1
"Anak sekolah tetap tatap muka, biar MBG bisa berjalan dengan baik...😂😂",2
saya yg jadi guru sebenarnya juga ingin WFH seperti sektor lain... Apalagi jam kerja 6 hari. Tapi sepertinya cuma bisa ngarep...,0
"kalaupun BBM naik saya tetep milih anak saya tatap muka, bukan daring...",0
WFH = Wow Fada Holiday😂😂,2
WFH = Wasssik For Holiday🛍🎈⛱,2
"WFH ko jumat yg ada bukan hemat BBM malah boros BBM, kl mau WFH itu rabu atau selasa atau kamis gt loh, trs MBG, kopdes di audit baru hemat 🙌",0
"Buruh tetap kerja,oke paham",1
"kita buruh tetap kudu banting tulang, yg enak ASN doank bro",0
